Descrição,Valor Total,Nº Processo (SES-PRC),CNPJ,Fornecedor,Vigência (180 dias),last_update
"LENÇOL DESCARTAVEL, EM NÃO TECIDO, MEDINDO 200CM DE COMPRIMENTO X 90CM DE LARGURA, COM LATEX, EMBALADO INDIVIDUAL EMPLASTICO ATOXICO, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE.",950000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"MASCARA CIRURGICA DESCARTAVEL,EM NAO TECIDO,SENDO A CAMADA EXTERNA EM 100% POLIPROPILENO,INTERNA EM POLIPROPILENO EPOLIETILENO, COM CLIP NASALE PREGAS HORIZONTAIS,DE FACIL ADAPTACAO,COM TIRAS DENO MINIMO 20 CM DE COMPRIMENTO, COM 03CAMADAS, SENDO A EXTERNA C/ 20G/M², A INTERNAC/30G/M² E A INTERMEDIARIA C/ 20G/M², HIPOALERGICAS, SENDO A INTERMEDIARIA C/FILTROQUEPROTECAO ADEQUADA,C/SISTEMA DESELAGEM ELETRONICA,EMBALAGEM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, AAPRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE.",1460000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"MASCARA DE PROTEÇÃO DESCARTAVEL, CONFECCIONADO EM 100% POLIPROPILENO, MEDINDO APROXIMADAMENTE 0,80 X 0,20 M COM TRIPLACAMADA (DUAS CAMADAS EXTERNAS E UMA CAMADA INTERNA C/ FILTRO BACTERIANO COM GRAMATURA DE 30), COM ELÁSTICO REVESTIDO EMTODA A SUA EXTENSAO FACILITANDO ASSIM SUA COLOCAÇÃO, QUE PROPORCIONA CONFORTO AO VESTIR, USO EM INDIVIDUAL, APRESENTACAO EMNÃO ESTERIL, ROTULAGEM RESPEITANDO A CONFORME LEGISLAÇÃO ATUAL.",1460000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"MACACÃO DESCARTAVEL, 100% POLIPROPILENO/SMS PARA PROTECAO INDIVIDUAL, GRAMATURA DE 40 GRAMAS E FECHAMENTO NA FRENTE COMZIPER, TAMANHO MÉDIO, USO INDIVIDUAL E NÃO ESTERIL",72000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"MACACÃO DESCARTAVEL, 100% POLIPROPILENO/SMS PARA PROTECAO INDIVIDUAL, GRAMATURA DE 40 GRAMAS E FECHAMENTO NA FRENTE COMZIPER, TAMANHO GRANDE, USO INDIVIDUAL E NÃO ESTERIL",96000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"MACACÃO DESCARTAVEL, 100% POLIPROPILENO/SMS PARA PROTECAO INDIVIDUAL, GRAMATURA DE 40 GRAMAS E FECHAMENTO NA FRENTE COMZIPER, TAMANHO EXTRA GRANDE, USO INDIVIDUAL E NÃO ESTERIL",72000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"TERMOMETRO CLINICODIGITALSEM CONTATO PARA MEDICAO DETEMPERATURACORPOREAE DE OBJETOSA DISTANCIA,EM MATERIALBIOCOMPATIVEL C/SENSOR INFRAVERMELHO,LEITURA POR BATERIA,TEMPO TESTE APROX1SEGUNDO, GRADUADA EM GRAUSCELSIUS OUFAHRENHEIT,LEITURA APROXIMADAMENTE 20 A 42ºC OU 68,4 A 108°F DESLIGUE AUTOMATICO, EMBALAGEM INDIVIDUAL, EM MATERIAL QUEGARANTA A INTEGRIDADE DO PRODUTO, ROTULAGEM DE ACORDO COM LEGISLACAO VIGENTE DE ACORDO COMA VIGENTE ACOMPANHADO DECERTIFICADO DE CALIBRAÇÃO.",11500.0,2020-13.108,06.105.362/0001-23,ACCUMED PRODUTOS MEDICOS HOSPITALARES,15/09/2020,2020-04-24
"Máscara de proteção tipo respirador, formato anatômico, adulto descartável, antialérgica,inodora, atóxica, confeccionada em fibras de poliéster, commeio filtrante,camada externa de polipropileno e polietileno, uma camada interna de celulose /poliéster (classe PFF2/ N 95), um par de elásticos parafixação. O produto deverá atender a NBR 13698 e 13697 e aprovação no Ministério do Trabalho. Embalado em material que garanta a integridade doproduto.",430800.0,2020-13.265,45.985.371/0001-08,3M DO BRASIL LTDA,19/09/2020,2020-04-24
"HIGIENIZADOREM ESPUMA, NEUTRO,COMPOSTO DE ALCOOLETILICO 70%, ALCOOLISOPROPILICO MENOR QUE5%,INDICADO PARA AÇÃOBACTERICIDA E ANTISSEPTICA PARA MÃOS, ACONDICIONADO EM EMBALAGEM C/VALVULA ANTI-RETORNO C/DISPENSAÇÃO ENTRE 0,4ML A 0,8ML,PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA AOS PROCEDIMENTOS ADM. DETERMINADOS PELA ANVISA, VALIDADE MINIMA DE 12 MESES",4368000.0,2020-13.317,08.304.991/0001-08,PS DISTRIBUIDORA DE PRODUTOS DA SAUDE LTD,19/09/2020,2020-04-24
"HIGIENIZADOREM ESPUMAANTISSEPTICODE MAOS,INCOLOR,COMPOSTODEALCOOLETILICO70%.ALCOOLISOPROPILICO,AGENTESCOMPLEMENTARRES PARA HIDRATACAO DA PELE, ACONDICIONADO EM VALVULA DOSADORA TIPO PUMP, ANTI RETORNO, COM SUPORTE ADAPTAVEL,PARA BE IRA DE LEITO E SUPORTE DE SORO, ACONDICIONADO EM FRASCO PLASTICO, PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA DEACORDO COM A LEGISLACAO VIGENTE. AOS PROCEDIMENTOS ADM. DETERMINADOS PELA ANVISA, VALIDADE MINIMA 12 MESES",728000.0,2020-13.317,08.304.991/0001-08,PS DISTRIBUIDORA DE PRODUTOS DA SAUDE LTD,19/09/2020,2020-04-24
"LUVA PARA PROCEDIMENTO, EM VINIL, ATOXICA E ANTIALERGICA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEM FALHAS E FORMATOANATOMICO, COM BOA ELASTICIDADE, RESISTENTE, NAO LUBRIFICADA,ISENTA DE TALCO OU QUALQUER OUTRO TIPO DE PO, NO TAMANHO GRANDE,COM PUNHO ACABADO DE 04 A 06 CM COM BAINHA DO MESMO MATERIAL DA LUVA, NAO ESTERIL, EMBALADO EM MATERIAL QUE GARANTA AINTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE E ATENDER A NBR11193-1",480000.0,2020-14.225,09.260.071/0001-06,CIRURGICA KD LTDA,21/09/2020,2020-04-24
"LUVA DE PROCEDIMENTO EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO MEDIO, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA, E ATENDER A LEGISLAÇÃOATUAL",525000.0,2020-14.225,09.260.071/0001-06,CIRURGICA KD LTDA,21/09/2020,2020-04-24
"LUVA DE PROCEDIMENTO EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO PEQUENO, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA, E ATENDER A LEGISLAÇÃOATUAL",525000.0,2020-14.225,09.260.071/0001-06,CIRURGICA KD LTDA,21/09/2020,2020-04-24
"Servico de Manutencao em Equipamento de Uso Clinico Geral - Ventilador  Pulmonar,  Monitores  e  Desfibriladores  para  atender  o  enfrentamento  da emergênciadesaúdepública deimportânciainternacionalem atendimento a Portaria nº356,de11de marçode2020,em decorrênciadaInfecção  Humana  pelo  novo coronavírus (COVID-19)",6224308.62,2020-14.267,08.441.389/0001-12,COMPREHENSE DO BRASIL EQUIPAMENTOS MEDICO-HOSPITALARES,30/09/2020,2020-04-24
"Máscara de proteção tipo respirador, formato anatômico, adulto descartável, antialérgica,inodora, atóxica, confeccionada em fibras de poliéster, commeio filtrante,camada externa de polipropileno e polietileno, uma camada interna de celulose /poliéster (classe PFF2/ N 95), um par de elásticos parafixação. O produto deverá atender a NBR 13698 e 13697 e aprovação no Ministério do Trabalho. Embalado em material que garanta a integridade doproduto.",26810789.04,2020-14.303,84.451.012/0001-22,ILLEC INTERNATIONAL LIMITED - BRASIL,23/09/2020,2020-04-24
"MASCARA CIRURGICA DESCARTAVEL,EM NAO TECIDO,SENDO A CAMADA EXTERNA EM 100% POLIPROPILENO,INTERNA EM POLIPROPILENO EPOLIETILENO, COM CLIP NASALE PREGAS HORIZONTAIS,DE FACIL ADAPTACAO,COM TIRAS DENO MINIMO 20 CM DE COMPRIMENTO, COM 03CAMADAS, SENDO A EXTERNA C/ 20G/M², A INTERNAC/30G/M² E A INTERMEDIARIA C/ 20G/M², HIPOALERGICAS, SENDO A INTERMEDIARIA C/FILTROQUEPROTECAO ADEQUADA,C/SISTEMA DESELAGEM ELETRONICA,EMBALAGEM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, AAPRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE.",40429500.0,2020-14.303,84.451.012/0001-22,ILLEC INTERNATIONAL LIMITED - BRASIL,23/09/2020,2020-04-24
"SABONETE, EM ESPUMA, COMPOSTO DE ALCOOLISOPROPILICO,LAURILSULF.DE SODIO, DIMETICONA, COCOATO DE GLICERINA, COAMIDOPROPILBETAINA, COCOAMFODIACETATO DISSODICO, SOLVENTE, UMECTANTE, SURFACTANTE, PARA HIGIENE DAS MAOS, FRASCO REFIL RIGIDO,DISPENSACAODE 0.4ML POR PROCEDIMENTO, COM SISTEMA DOSADOR E VALVULA DESCARTAVEL, PRODUTO SUJEITO A VERIFICACO NO ATO DA ENTREGA, AOSPROCEDIMENTOS ADMINISTRATIVOS DETERMINADOS PELA ANVISA",165000.0,2020-14.348,04.124.669/0001-46,TECNO 4 PRODUTOS HOSPITALARES LTDA. EPP,26/09/2020,2020-04-24
"MONITOR DE PARAMETROS FISIOLOGICOS, PARA SPO2, PORTATIL, MICROPROCESSADO, CONTROLE POR BOTAO ROTATIVO OU TECLADO, TELA DE LCD,APRESENTACAO DE CURVA PLESTIMOGRAFICA E VALOR, APRESENTANDO OXIMETRIA ESCALA DE 30 A 100 %, ALARMES PARA ALTA E BAIXA SATURACAODE OXIGENIO, AUDIOVISUAIS AJUSTAVEIS, PROTECAO CONFORME NORMA NBR IEC 60601 -1, ALIMENTACAO 110 A 220 V / 60 HZ,BATERIA INTERNARECARREGAVELINCORPORADA COM AUTONOMIA DE1,5 HORAS, ACOMPANHA:SENSORESREUTILIZAVEIS:2 ADULTO TIPO CLIP DE DEDO,1PEDIATRICO E 1 NEONATAL, INCLUI: INSTALACAO, GARANTIA 12 MESES, TREINAMENTO E ASSISTENCIA TECNICA",690000.0,2020-14.489,11.405.384/0001-49,ALFA MED SISTEMAS MÉDICOS LTDA.,04/10/2020,2020-04-24
"MASCARA FACIAL, COM ADAPTADOR PARA O VISOR COM ELASTICO, NÃO ESTERIL, ANATOMICO, SEM REBARBAS PROTEÇÃO DE LIQUIDOS E POEIRAS,CONSTITUIDO DE VISOR EM POLICARBONATO, MEDINDO APROXIMADAMENTE22,2CM X23,8CM E0,5MM DEESPESSURA,TRANSPARENTE, AAPRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLAÇÃO ATUAL VIGENTE E EMBALADO INDIVIDUALMENTE EM MATERIAL QUE GARANTA AINTEGRIDADE DO PRODUTO",320000.0,2020-14.498,04.626.152/0001-55,HANNOVER PLASTICOS S.A.,23/09/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 10 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA OMANUSEIO DO TUBO S/ CONTATO C/SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",29118.96,2020-14.506,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 14 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA O MANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",851169.6,2020-14.506,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 16 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA O MANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",126928.8,2020-14.506,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 12 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA OMANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",418118.4,2020-14.506,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 29CM DE COMPRIMENTO E CALIBRE 8 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR, POSSIBILITA O MANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",193662.0,2020-14.506,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 29 CM DE COMPRIMENTO E CALIBRE 6 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA O MANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",304326.0,2020-14.506,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
"CANULA ENDOTRAQUEAL, CONFECCIONADA EM PVC, TRANSPARENTE, FLEXIVEL, ATOXICO, COM CONECTOR, COM OLHO DE MURPHY, SEM MANDRIL,S/CUFF, SEM VALVULA, 3,0 MM (14 FR), EXTREMIDADE ATRAUMATICA, COM GRADUACAO INDELEVEL, USO UNICO, COM FIO RADIOPACO, ESTERIL,EMBALADO EM MATERIAL QUE PROMOVA BARREIRA MICROBIANA E ABERTURA ASSEPTICA E OBEDECER LEGISLACAO ATUAL VIGENTE",25302.82,2020-14.609,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,26/09/2020,2020-04-24
