ID_DOC;Número do Processo;Sigla Órgão;Órgão;Descrição;Tipo de Processo;SIGLA_ORGAO_USU1;SIGLA_FORMA_DOC;Ano de emissão;NUM_EXPEDIENTE
2358521;SAP-PRC-2020/01580;SAP;Secretaria da Administração Penitenciária;"COMPRA DE GÊNEROS ALIMENTICIOS ESTOCÁVEIS ATRAVÉS DE DISPENSA LICITAÇÃO, ARTIGO 24, INCISO IV, DA LEI 8.666/93.; PENITENCIARIA NESTOR CANOA DE MIRANDOPOLIS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SAP;PRC;2020;1580
2358535;SAP-PRC-2020/01582;SAP;Secretaria da Administração Penitenciária;"COMPRA DE GÊNEROS ALIMENTICIOS ESTOCÁVEIS ATRAVÉS DE DISPENSA LICITAÇÃO, ARTIGO 24, INCISO IV, DA LEI 8.666/93.; PENITENCIARIA NESTOR CANOA DE MIRANDOPOLIS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SAP;PRC;2020;1582
2362085;SES-PRC-2020/05079;SES;Secretaria da Saúde;"Microtubo, para diagnóstico do Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;5079
2366964;SES-PRC-2020/05098;SES;Secretaria da Saúde;"Kits para diagnóstico do Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;5098
2598940;SES-PRC-2020/06600;SES;Secretaria da Saúde;"Aquisição emergencial de Reagentes Biológicos para atender coronavírus - Portaria GM/MS n° 188, 03/02/2020 - DOU 04/02/2020 - C0013/2020; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;6600
2611357;SES-PRC-2020/06678;SES;Secretaria da Saúde;"Aquisição de materiais para prevenção referente ao corona vírus; UGA II Hospital Ipiranga ; Memo 004/2020..";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;6678
2636121;SES-PRC-2020/06858;SES;Secretaria da Saúde;"AQUISIÇÃO DE INSUMO DE ENFERMAGEM - RESPIRADOR SEMIFACIAL CINZA PPF1; CENTRO DE REFERENCIA E TREINAMENTO DST/AIDS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;6858
2755646;SES-PRC-2020/07587;SES;Secretaria da Saúde;"Instalação de Poste Medidor de Energia atrelado ao ao Aparelho respirador e o Pagamento das contas de Energia Elétrica decorrente desse aparelho ; JOÃO OTÁVIO SILVA SANTOS; 10142633120188260344.";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços terceirizados;SES;PRC;2020;7587
2761704;SES-PRC-2020/07625;SES;Secretaria da Saúde;"AQUISIÇÃO DE MATERIAL DE CONSUMO - (RESPIRADOR SEMIFACIAL - EPI); HOSPITAL INFANTIL CANDIDO FONTOURA; SES-MEM-2020/12911.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;7625
2778786;SES-PRC-2020/07721;SES;Secretaria da Saúde;"Aquisição Emergencial de Anticorpo e Solução Tampão Tris para Atender Coronavírus - Portaria GM/MS n° 188, 03/02/2020 - DOU 04/02/2020, conforme Consolidado nº 15/2020 N; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;7721
2779332;SES-PRC-2020/07724;SES;Secretaria da Saúde;"Aquisição emergencial de Lâminas para atender Coronavírus - Portaria GM/MS n° 188, 03/02/2020 - DOU 04/02/2020, conforme Consolidado nº 18/2020; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;7724
2870368;SES-PRC-2020/08288;SES;Secretaria da Saúde;"AQUISIÇÃO DE MATERIAIS PARA ATENDIMENTO AO CORONAVÍRUS; HOSPITAL GUILHERME ALVARO; MEMO DTGH Nº 139/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;8288
2986244;SES-PRC-2020/08914;SES;Secretaria da Saúde;"Prestação de Serviço de Assessoria de Informática Biológica (Bioinformática) - Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços comuns;SES;PRC;2020;8914
2991438;SES-PRC-2020/08954;SES;Secretaria da Saúde;"AQUISIÇÃO DE MATERIAIS PARA TRATAMENTO DE CORONAVÍRUS; HOSPITAL GUILHERME ALVARO; MEMO DTGH Nº 148/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;8954
3061782;SES-PRC-2020/09427;SES;Secretaria da Saúde;"AQUISIÇÃO DE TUBO CÔNICO TIPO FALCON 15ML E SWAB ESTÉRIL DESC. RAYON PARA COLETA DE MATERIAL BIOLÓGICO (CORONAVÍRUIS) - PEDIDO 7699; HOSPITAL GUILHERME ÁLVARO ; HGA/SUP-100/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;9427
3065563;SES-PRC-2020/09441;SES;Secretaria da Saúde;"AQUISIÇÃO DE AVENTAL CIRURGICO - TRATAMENTO DE CORONAVÍRUS; HOSPITAL GUILHERME ALVARO; MEMO DTGH Nº 149/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;9441
3067197;SES-PRC-2020/09447;SES;Secretaria da Saúde;"Pagamento de Invoice para importação de Materiais Recebidos como Amostra para Vigilância do Vírus Influenza e do Vírus 2019-nCoV- Coronavírus; Instituto Adolfo Lutz;";Gestão Orçamentária e Financeira: Processo de pagamento de impostos e taxas;SES;PRC;2020;9447
3071681;SES-PRC-2020/09467;SES;Secretaria da Saúde;"AQUISIÇÃO DE LUVAS DE PROCEDIMENTO - TRATAMENTO DE CORONAVÍRUS; MEMO DTGH Nº 150/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;9467
3080792;SES-PRC-2020/09500;SES;Secretaria da Saúde;"AQUISIÇÃO DE MATERIAIS PARA ATENDIMENTO AO CORONAVÍRUS; HOSPITAL GUILHERME ALVARO; MEMO DTGH Nº 151/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;9500
3157147;SES-PRC-2020/10013;SES;Secretaria da Saúde;"AQUISIÇÃO DE MÁSCARA DE PROTEÇÃO TIPO RESPIRADOR (ATA DE REGISTRO DE PREÇOS C034/2019) ; HOSPITAL MATERNIDADE INTERLAGOS; HMI/NAP-043/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;10013
3214724;SES-PRC-2020/10316;SES;Secretaria da Saúde;"AQUISIÇÃO DE PRODUTOS DE HIGIENE - TRATAMENTO DO CORONAVÍRUS; HOSPITAL GUILHERME ALVARO; MEMO DTGH Nº 153/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;10316
3236380;PMESP-PRC-2020/00150;PMESP;Polícia Militar do Estado de São Paulo;"Aquisição de tripé de salvamento e respirador facial inteira.; PROCESSO 2020211017.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;PMESP;PRC;2020;150
3292121;SES-PRC-2020/10838;SES;Secretaria da Saúde;"Execução de serviços de engenharia de manutenção preventiva e corretiva do laboratório NB2 da BM - Coronavirus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviço técnico profissional generalizado;SES;PRC;2020;10838
3410403;SES-PRC-2020/11671;SES;Secretaria da Saúde;"Aquisição de Máscara de proteção tipo respirador, N 95; HOSPITAL REGIONAL DE FERRAZ DE VASCONCELOS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;11671
3430386;SEGOV-PRC-2020/01047;SEGOV;Secretaria de Governo;"Aquisição de Eletrodomésticos para situações de emergência e calamidade pública; GRUPO DE PROGRAMAS E PROJETO ; DA 013/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SEGOV;PRC;2020;1047
3454724;SES-PRC-2020/11937;SES;Secretaria da Saúde;"Projeto: Intensificação das Ações de Enfrentamento à Infecção pelo novo Coronavírus - ( COVID-19 ); CENTRO DE INFORMAÇÕES ESTRATÉGICAS EM VIGILÂNCIA EM SAÚDE - CIEVS- CVE; P.I.-06/2020 - SES-OFI-2020/09300.";Vigilância e prevenção de riscos à saúde: Processo de análise e acompanhamento de projetos financiados por fundo especial de saúde;SES;PRC;2020;11937
3469579;SES-PRC-2020/12031;SES;Secretaria da Saúde;"Contratação de empresa para serviços de telemedicina relacionado ao Coronavírus; Coordenadoria de Controle de Doenças;";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços terceirizados;SES;PRC;2020;12031
3472286;SCEC-PRC-2020/00147;SCEC;Secretaria da Cultura e Economia Criativa;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE PRODUÇÃO E IMPRESSÃO DE PUBLICIDADE - PANFLETOS CORONA-VÍRUS.; CENTRO DE COMPRAS E CONTRATAÇÃO ;";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços terceirizados;SCEC;PRC;2020;147
3475271;SES-PRC-2020/12072;SES;Secretaria da Saúde;"AQUISIÇÃO DE LUVA CIRÚRGICA ESTÉRIL Nº 6,5 (NACIONAL) E AVENTAL CIRÚRGICO NÃO ESTÉRIL MANGA LONGA (CORONAVÍRUIS) - PEDIDO 7733; HOSPITAL GUILHERME ÁLVARO ; HGA/SUP-119/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12072
3475790;SES-PRC-2020/12079;SES;Secretaria da Saúde;"AQUISIÇÃO DE METILPREDNISOLONA, SUCCINATO SODICO 500MG (CORONAVÍRUIS) - PEDIDO 7734; HOSPITAL GUILHERME ÁLVARO ; HGA/SUP-120/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12079
3476006;SES-PRC-2020/12086;SES;Secretaria da Saúde;"Aquisição de aventais visando o atendimento para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (COVID-19); Coordenadoria Geral de Administração - CGA ;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12086
3479173;SES-PRC-2020/12114;SES;Secretaria da Saúde;"Aquisição de Higienizadores em Gel Antisséptico (Alcool Gel) para atendimento de Plano de Contingência COVID-19; Coordenadoria Geral de Administração; Ofício CRP nº 081/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12114
3504434;SES-PRC-2020/12300;SES;Secretaria da Saúde;"Aquisição de avental descartável para kit de atendimento hospitalar (CORONAVIRUS); Grupo de Resgate - GRAU ; SES-MEM-2020/19691.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12300
3505972;SES-PRC-2020/12312;SES;Secretaria da Saúde;"Aquisição de medicamento em caráter emergencial- COVID19 (Coronavírus); Coordenadoria de Assistência Farmacêutica;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12312
3508908;SES-PRC-2020/12336;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares ? Ata 01/19, 02/19 e 77/19 - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 058/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;12336
3518784;SES-PRC-2020/12375;SES;Secretaria da Saúde;"Aquisição de Avental Descartável para atendimento de Plano de contingência COVID-19; COORDENADORIA GERAL DE ADMINISTRAÇÃO- CGA;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12375
3519375;SCEC-PRC-2020/00150;SCEC;Secretaria da Cultura e Economia Criativa;"AQUISIÇÃO DE MATERIAL PARA HIGIENIZAÇÃO, ASSEPSIA E PREVENÇÃO DO CORONAVÍRUS.; CENTRO DE COMPRAS E CONTRATAÇÃO ;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SCEC;PRC;2020;150
3537062;SES-PRC-2020/12474;SES;Secretaria da Saúde;"PROJETO: &quot;RESPOSTAS À EMERGÊNCIA EM SAÚDE PÚBLICA DEVIDO A COVID-19 EM CASOS DE SÍNDROME RESPIRATÓRIA AGUDA GRAVE - SRAG E SÍNDROME GRIPAL - SG EM UNIDADES SENTINELAS&quot;; CENTRO DE VIROLOGIA - INSTITUTO ADOLFO LUTZ; C.I.-08/2020 .";Vigilância e prevenção de riscos à saúde: Processo de análise e acompanhamento de projetos financiados por fundo especial de saúde;SES;PRC;2020;12474
3539852;SES-PRC-2020/12495;SES;Secretaria da Saúde;"Solicitação de recurso e empenho - TOMÓGRAFO - ATA 74/2019 - Para atender aos Hospitais de Guaianases e Emílio Ribas, em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 059/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;12495
3540167;SES-PRC-2020/12508;SES;Secretaria da Saúde;"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO EMERGENCIAL DE CAMAS HOSPITALARES - COVID-19; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 055/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;12508
3542400;SAP-PRC-2020/06486;SAP;Secretaria da Administração Penitenciária;"Empenhamento de recursos orçamentários/financeiros para aquisição de álcool gel 70% visando auxiliar nas medidas preventivas urgentes de disseminação do coronavírus.; PENITENCIÁRIA &quot;TACYAN MENEZES DE LUCENA&quot; DE MARTINÓPOLIS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SAP;PRC;2020;6486
3553070;PCSP-PRC-2020/00384;PCSP;Polícia Civil do Estado de São Paulo;"Aquisição de máscaras semi faciais (covid19); Delegacia Seccional de Itanhaém; DSPI 19/2020 DAP 122.066/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;PCSP;PRC;2020;384
3555348;PCSP-PRC-2020/00385;PCSP;Polícia Civil do Estado de São Paulo;"Aquisição de materiais de higiene para prevenção do COVID19; Delegacia Seccional de Itanhaém; 18/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;PCSP;PRC;2020;385
3567596;SES-PRC-2020/12694;SES;Secretaria da Saúde;"AQUISIÇÃO DE MATERIAL PARA CONTINGENTE DE CORONA VIRUS; HOSPITAL GERAL JESUS TEIXEIRA DA COSTA - GUAIANASES;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12694
3581548;SAP-PRC-2020/06653;SAP;Secretaria da Administração Penitenciária;"Aquisição de Insumos de Saúde em virtude do Coronavirus.; Centro de Assistência Farmacêutica e Insumos de Saúde - CAFIS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SAP;PRC;2020;6653
3583196;SES-PRC-2020/12799;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 76/2019 - Radiodiagnóstico Móvel - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. Nº 060/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;12799
3585830;SAP-PRC-2020/06665;SAP;Secretaria da Administração Penitenciária;"Aquisição de Insumos de Saúde sem Ata, em virtude do Coronavirus, através de CONVITE BEC; Centro de Assistência Farmacêutica e Insumos de Saúde - CAFIS;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SAP;PRC;2020;6665
3593693;SDPCD-PRC-2020/00041;SDPCD;Secretaria de Estado dos Direitos da Pessoa com Deficiência;"Aquisição emergencial de álcool gel 70%, visando atender o aumento demanda causado pelo surto de COVID-19.; Núcleo de Almoxarifado e Patrimônio; SEDPcD/NAP- nº 010/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SDPCD;PRC;2020;41
3596856;SES-PRC-2020/12879;SES;Secretaria da Saúde;"Contratação de Empresa Especializada na Locação de Container, em caráter emergencial, tendo como função a prestação de serviços de primeiro atendimento aos pacientes com suspeita de serem portadores do vírus COVID-19; Coordenadoria Geral de Administração; Ofício CGA n.º 130/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços comuns;SES;PRC;2020;12879
3601653;SES-PRC-2020/12894;SES;Secretaria da Saúde;"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO EMERGENCIAL DE VENTILADORES PULMONARES E MONITORES - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19); COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 054/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;12894
3604757;SES-PRC-2020/12913;SES;Secretaria da Saúde;"CONFECÇÃO DE BANNER REFERENTE INFORMAÇÕES COVID 19; HOSPITAL GUILHERME ALVARO;";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços comuns;SES;PRC;2020;12913
3605513;SES-PRC-2020/12914;SES;Secretaria da Saúde;"AQUISIÇÃO DE MAT. MED. HOSP. - COVID - (OCULOS DE PROTEÇÃO) - SES-MEM-2020/20821; Hospital Geral de São Mateus;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12914
3605845;SES-PRC-2020/12916;SES;Secretaria da Saúde;"AQUISIÇÃO EMERGENCIAL DE VENTILADOR PULMONAR - em atendimento a Portaria nº 356, de 11 de março de 2020 - COVID-19; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 054/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;12916
3607121;SES-PRC-2020/12919;SES;Secretaria da Saúde;"Aquisição de Óculos de Proteção para atendimento de Plano de contingência COVID-19; Coordenadoria Geral de Administração - CGA;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12919
3608619;SES-PRC-2020/12922;SES;Secretaria da Saúde;"Aquisição de Materiais para atendimento de Plano de contingência COVID-19; Coordenadoria Geral de Administração - CGA;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;12922
3625375;SES-PRC-2020/13024;SES;Secretaria da Saúde;"AQUISIÇÃO DE FILTRO BACTERIANO/VIRAL DO TIPO HEPA PARA VENTILADORES PULMONARES DA UTI ADULTO - COVID 19 PEDIDO 7739; HGA; HGA/SC - 0028/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;13024
3625770;SES-PRC-2020/13025;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 01/2019 - Mobiliário Hospitalar - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 061/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13025
3625849;SES-PRC-2020/13027;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 02/2019 - Mobiliário Hospitalar - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 062/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13027
3626032;SES-PRC-2020/13030;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 55/2019 - Ventilador Pulmonar - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 063/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13030
3626142;SES-PRC-2020/13032;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 56/2019 - Mobiliário Hospitalar - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 064/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13032
3626353;SES-PRC-2020/13034;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 68/2019 - Desfibriladores - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 065/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13034
3626455;SES-PRC-2020/13036;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 77/2019 - Balanças - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 066/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13036
3626526;SES-PRC-2020/13037;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 102/2019 - Mobiliário Hospitalar - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 067/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13037
3626604;SES-PRC-2020/13038;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 103/2019 - Foco Cirúrgico - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 068/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13038
3631753;SES-PRC-2020/13058;SES;Secretaria da Saúde;"AQUISIÇÃO DE MÁSCARAS COM VISOR DE PROTEÇÃO FACIAL - (COVID 19) - PEDIDO - 7747; HGA - UTI ADULTO/UNIDADE DE EMERGÊNCIA REFERENCIADA/QUIMIOTERAPIA; HGA/SC - 0029/2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;13058
3636045;SES-PRC-2020/13066;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 126/2019 - Aspirador Cirúrgico - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 069/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13066
3636232;SES-PRC-2020/13069;SES;Secretaria da Saúde;"Aquisição de Equipamentos Hospitalares - Ata 379/2018 - Hemodiálise e Osmose reserva - em atendimento a Portaria nº 356, de 11 de março de 2020, em decorrência da Infecção Humana pelo novo coronavírus (COVID-19).; COORDENADORIA GERAL DE ADMINISTRAÇÃO - CGA; OF. 070/2020/GES.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material permanente;SES;PRC;2020;13069
